mutation_year,mutation_week,company_id,branch_id,SBIHOOFDACT,SBINEVENACT1,SBINEVENACT2
2022,37,61c77d43e3c9aed51d576988be3fce530b867255,ceaaa886eec3dbe08baeda8ca4c7cdbbb54cf6ed,7721,,
2021,45,9c1c24b370d95f1bc15c5600bda5f8da6dc2dbf1,bfc387936a843d3ad3c9af7c67cebfaf8dfcb590,45311,,
2022,39,9c1c24b370d95f1bc15c5600bda5f8da6dc2dbf1,bfc387936a843d3ad3c9af7c67cebfaf8dfcb590,45311,,
2021,43,f352256f44fa02bf663c71579b408561ad5b7737,c46d53a7d3969ee5a1b9387331d03eabc4d6a655,6420,,
2022,51,f352256f44fa02bf663c71579b408561ad5b7737,c46d53a7d3969ee5a1b9387331d03eabc4d6a655,6420,,
2021,48,168950c8a65e0f37e3592ca5b4830e6f8c1d2d9e,64cc7ffb7a40a10ba490d6225a7360d1efe62a48,01305,47762,
2021,46,d87deeb5eb14b6227d1b9c6661d8f1fd775b00e6,6ee5ad4e9a6d03da06ba3fabc3eabe8a0f2e64e3,3011,,
2021,47,d87deeb5eb14b6227d1b9c6661d8f1fd775b00e6,6ee5ad4e9a6d03da06ba3fabc3eabe8a0f2e64e3,3011,,
2022,52,d87deeb5eb14b6227d1b9c6661d8f1fd775b00e6,6ee5ad4e9a6d03da06ba3fabc3eabe8a0f2e64e3,3011,,
2023,01,d87deeb5eb14b6227d1b9c6661d8f1fd775b00e6,6ee5ad4e9a6d03da06ba3fabc3eabe8a0f2e64e3,3011,,
2023,10,d87deeb5eb14b6227d1b9c6661d8f1fd775b00e6,6ee5ad4e9a6d03da06ba3fabc3eabe8a0f2e64e3,3011,,
2021,36,13fdfbede530fe9153dca5cbb50042636a71930a,dd77d7592cbf9603734cc67cce76a57019b2d7b9,6420,2790,
2022,34,13fdfbede530fe9153dca5cbb50042636a71930a,dd77d7592cbf9603734cc67cce76a57019b2d7b9,6420,2790,
2022,40,3a160f223238831ff7b5cf69b11c400ebbe2240b,c78da0b9e53b7d5e007c583854388e293af70976,47712,,
2021,11,3e634530df0c8281f7abd2d1996565c0fb735f0a,5905bdf53488ed543e004fdb35bffcb3553af9c0,16231,4332,
2022,18,3e634530df0c8281f7abd2d1996565c0fb735f0a,5905bdf53488ed543e004fdb35bffcb3553af9c0,16231,4332,
2022,01,8d25d9ecd78340677bac59829adaf8d256126721,7ae3b9586fd2f998d3f1231753d70279cba2a671,50201,3315,
2022,04,8d25d9ecd78340677bac59829adaf8d256126721,7ae3b9586fd2f998d3f1231753d70279cba2a671,50201,3315,69203
2022,01,d54788229f82057664f24f424091e79424474a6f,b08a4b68fe5dc7d1afcbb4ba87db5eef8b2d5497,4614,7490,
2021,48,15a67876217253942441b0c3ad83128ae2f05220,58be5e299afd8d7d523c35af3e0adb88fdfd3c2b,3315,,
2022,14,dd20b079108ca4a65c81ac96fb5066e65be498f0,126808aada47704d6159bde0087d2fc6402b0b56,90012,,
2021,52,1780c7b26fc3ad07e39f61229e19bffa9b5d07f8,511020cda02d8f47247c6042512c09a862e92edf,6420,,
2021,45,93fe84e34222a9df7704fe21061b4d34248befee,e0c0d3062b85431912588efcba41b83dd78034c3,85592,6201,
2022,45,93fe84e34222a9df7704fe21061b4d34248befee,e0c0d3062b85431912588efcba41b83dd78034c3,85592,6201,
2021,45,93fe84e34222a9df7704fe21061b4d34248befee,e3b18162789795a37836e57a0a3b94dec39055a9,85592,,
2022,45,93fe84e34222a9df7704fe21061b4d34248befee,e3b18162789795a37836e57a0a3b94dec39055a9,85592,,
2021,39,24341cd68cbc0bfd11eed1c10df3f5bac07e9fea,a3b3e288e3a75fc70e2d8eb186b2554add4b0678,01451,0111,68204
2022,44,24341cd68cbc0bfd11eed1c10df3f5bac07e9fea,a3b3e288e3a75fc70e2d8eb186b2554add4b0678,01451,0111,68204
2022,34,9800a70d82816d881b3ac2563b9639c9fd43d950,1431e23c4e67d488f7e2f14c142e5cf5201886f5,6420,,
2021,22,50ae15333046d81e25731ab50360fc806e8df954,90c628f388712af25072cab590e0925956afd9f7,6420,6831,
2021,25,50ae15333046d81e25731ab50360fc806e8df954,90c628f388712af25072cab590e0925956afd9f7,6420,6831,
2022,22,50ae15333046d81e25731ab50360fc806e8df954,90c628f388712af25072cab590e0925956afd9f7,6420,6831,
2023,03,6ae3e001596b1d7f9fcf2a85146b56bbad549660,e6b1a53154430e2511903fe969900f7f487f85be,4762,,
2021,02,8f169d5997914c11779bd2db302d3fe280f8bb3d,a1a1eebdf9fb6c4798510d72955ce62d38ab3be8,46462,,
2022,01,8f169d5997914c11779bd2db302d3fe280f8bb3d,a1a1eebdf9fb6c4798510d72955ce62d38ab3be8,46462,46461,
2021,51,8f169d5997914c11779bd2db302d3fe280f8bb3d,d79dd10be9893fe3302b8842eac783fbfb7d8a32,46462,,
2022,01,8f169d5997914c11779bd2db302d3fe280f8bb3d,fa586d2524476648ba2f9f4933f4a8245d1855fc,2011,,
2022,01,8f169d5997914c11779bd2db302d3fe280f8bb3d,17054e7f0a45f248850960b1da715f8e1e371df2,46461,,
2022,01,8f169d5997914c11779bd2db302d3fe280f8bb3d,1c4ab145dba192c9cb689409cf9700e423240647,46461,46462,
2022,01,8f169d5997914c11779bd2db302d3fe280f8bb3d,7fe6113da94cab522a2d78cd36ccb5346a5e85b3,46461,,
2021,16,35261c672fd016280bc4ed9cad13bbba6619b862,8eb39ba2012355d0dabe6ed430e82b529d8d3044,2030,46732,6420
2021,43,35261c672fd016280bc4ed9cad13bbba6619b862,8eb39ba2012355d0dabe6ed430e82b529d8d3044,2030,46732,6420
2022,16,35261c672fd016280bc4ed9cad13bbba6619b862,8eb39ba2012355d0dabe6ed430e82b529d8d3044,2030,46732,6420
2023,13,35261c672fd016280bc4ed9cad13bbba6619b862,8eb39ba2012355d0dabe6ed430e82b529d8d3044,2030,46732,6420
2021,16,35261c672fd016280bc4ed9cad13bbba6619b862,2688c101daa8b4ad5ab14b4210dc9e66a5a64180,7490,,
2021,43,35261c672fd016280bc4ed9cad13bbba6619b862,2688c101daa8b4ad5ab14b4210dc9e66a5a64180,7490,,
2022,16,35261c672fd016280bc4ed9cad13bbba6619b862,2688c101daa8b4ad5ab14b4210dc9e66a5a64180,7490,,
