code,descr_short_nl,descr_short_en,status
0,"Landbouw, bosbouw en visserij","Agriculture, forestry and fishing",1
01,"Landbouw, jacht en dienstverl. ervoor","Agriculture, hunting and related service activities",1
011,Teelt van eenjarige gewassen,Growing of non-perennial crops,1
0111,Teelt granen/peulvruchten/olieh. zaden,"Growing of cereals (except rice), leguminous crops and oil seeds",1
0112,Teelt van rijst,Growing of rice,1
0113,"Teelt groenten, wortel- en knolgewassen","Growing of vegetables and melons, roots and tubers",1
01130,Teelt van groenten en wortel- en knolgewassen,"Growing of vegetables and melons, roots and tubers",1
011301,Teelt van groenten en champignons,Growing of vegetables and mushrooms,1
011302,Teelt aard./suikerb./ov. wortel/knolgew.,"Growing of potatoes, sugar beets and other root and tubers",1
0114,Teelt van suikerriet,Growing of sugar cane,1
0115,Tabaksteelt,Growing of tobacco,1
0116,Teelt van vezelgewassen,Growing of fibre crops,1
0119,Teelt van overige eenjarige gewassen,Growing of other non-perennial crops,1
01190,Teelt van overige eenjarige gewassen,Growing of other non-perennial crops,1
011901,Bloementeelt,"Growing of flowers, floriculture",1
011909,Teelt van overige eenjarige gewassen,Growing of other non-perennial crops,1
012,Teelt van meerjarige gewassen,Growing of perennial crops,1
0121,Druiventeelt,Growing of grapes,1
0122,Teelt van tropisch en subtropisch fruit,Growing of tropical and subtropical fruits,1
0123,Teelt van citrusfruit,Growing of citrus fruits,1
0124,Teelt van pit- en steenvruchten,Growing of pome and stone fruits,1
0125,Teelt ov. boomvruchten/kleinfruit/noten,Growing of other tree and bush fruits and nuts,1
0126,Teelt van olieachtige fruit,Growing of oleaginous fruits,1
0127,Teelt gewassen voor verv. dranken,Growing of beverage crops,1
0128,Teelt specerij-/aromatische/med.gewassen,"Growing of spices, aromatic, drug and pharmaceutical crops",1
01280,Teelt van specerijgewassen en van aromatische en medicinale gewassen,"Growing of spices, aromatic, drug and pharmaceutical crops",1
012801,Teelt medicinale en bestrijdingsgewassen,"Growing of plants for medicinal, insecticidal or fungicidal purposes",1
012802,Teelt specerij- en aromatische gewassen,Growing of spices and aromatic crops,1
0129,Teelt van overige meerjarige gewassen,Growing of other perennial crops,1
013,Teelt van sierplanten,Cultivation of ornamental plants ,1
0130,Teelt van sierplanten,Cultivation of ornamental plants,1
01300,Teelt van sierplanten,Plant propagation,1
013001,Teelt sierplanten (geen bomen/struiken),Plant propagation (no trees or shrubs),1
013002,Teelt van sierbomen en -struiken,Propagation of ornamental trees or shrubs,1
014,Fokken en houden van dieren,Animal production,1
0141,Fokken en houden van melkvee,Raising of dairy cattle,1
0142,Fokken/houden runderen (geen melkvee),Raising of other cattle and buffaloes,1
0143,Fokken en houden van paarden en ezels,Raising of horses and other equines,1
0144,Fokken en houden van kamelen en kameelachtigen,Raising of camels and camelids,0
0145,Fokken en houden van schapen en geiten,Raising of sheep and goats,1
0146,Fokken en houden van varkens,Raising of swine/pigs,1
0147,Fokken en houden van pluimvee,Raising of poultry,1
0149,Fokken en houden van overige dieren,Raising of other animals,1
015,Akker- en/of tuinbouw i.c.m. dieren,Mixed farming,1
0150,Akker-/tuinbouw icm fokken/houden dieren,Mixed farming,1
016,Dienstverl. landb./behandeling na oogst,Support activities to agriculture and post-harvest crop activities,1
0161,Dienstverl. akker- en/of tuinbouw,Support activities for crop production,1
0162,Dienstverl. voor fokken en houden dieren,Support activities for animal production,1
0163,Behandeling van gewassen na de oogst,Post-harvest crop activities,1
0164,Behandeling van zaden voor vermeerdering,Seed processing for propagation,1
01640,Behandeling van zaden voor vermeerdering,Seed processing for propagation,1
016401,Beh. akkerbouwzaden voor vermeerdering,Processing of agricultural seeds for propagation,1
016402,Beh. tuinbouwzaden voor vermeerdering,Processing of horticultural seeds (not of trees) for propagation,1
016403,Beh. zaden boomkwekerijgew. voor verm.,Processing of seeds of trees for propagation,1
017,Jacht,Hunting,1
0170,Jacht,"Hunting, trapping and related service activities",1
02,Bosbouw/exploitatie bossen/dienstv.bosb.,Forestry and logging,1
021,Bosbouw,Silviculture and other forestry activities,1
0210,Bosbouw,Silviculture and other forestry activities,1
022,Exploitatie van bossen,Logging,1
0220,Exploitatie van bossen,Logging,1
023,Verzameling van wild groeiende niet-houtproducten,Gathering of wild growing non-wood products,1
0230,Verzameling van wild groeiende niet-houtproducten,Gathering of wild growing non-wood products,1
024,Dienstverlening voor de bosbouw,Support services to forestry,1
0240,Dienstverlening voor de bosbouw,Support services to forestry,1
03,Visserij en kweken van vis/schaaldieren,Fishing and aquaculture,1
031,Visserij,Fishing,1
0311,Zee- en kustvisserij,Marine fishing,1
0312,Binnenvisserij,Freshwater fishing,1
032,Kweken van vis en schaaldieren,Aquaculture,1
0321,Kweken van zeevis en -schaaldieren,Marine aquaculture,1
0322,Kweken van zoetwatervis en -schaaldieren,Freshwater aquaculture,1
,Winning van delfstoffen,Mining and quarrying,1
05,Winning van steenkool en bruinkool,Mining of coal and lignite,1
051,Winning van harde steenkool,Mining of hard coal,1
0510,Winning van harde steenkool,Mining of hard coal,1
052,Winning van bruinkool,Mining of lignite,1
0520,Winning van bruinkool,Mining of lignite,1
06,Winning van aardolie en aardgas,Extraction of crude petroleum and natural gas,1
061,Winning van aardolie,Extraction of crude petroleum,1
0610,Winning van aardolie,Extraction of crude petroleum,1
062,Winning van aardgas,Extraction of natural gas,1
0620,Winning van aardgas,Extraction of natural gas,1
07,Winning van metalen ertsen,Mining of metal ores,1
071,Winning van ijzererts,Mining of iron ores,1
0710,Winning van ijzererts,Mining of iron ores,1
072,Winning van niet-ijzerhoudende metalen ertsen,Mining of non-ferrous metal ores,1
0721,Winning van uranium en thorium ertsen,Mining of uranium and thorium ores,1
0729,Winning van andere niet-ijzerhoudende metalen ertsen,Mining of other non-ferrous metal ores,1
08,Winning delfstoffen (geen olie en gas),Other mining and quarrying,1
081,"Winning van zand, grind en klei","Quarrying of stone, sand and clay",1
0811,"Winning van decoratief- en bouwsteen, kalksteen, gips, krijt en leisteen","Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",0
0812,"Winning van zand, grind en klei","Mining of sand, gravel and clay",1
08120,"Winning van zand, grind en klei",Operation of gravel and sand pits; mining of clays and kaolin,1
081201,Winning van zand en grind,Operation of gravel and sand pits,1
081202,Winning van klei,Quarrying or mining of clay,1
089,Winning van overige delfstoffen,Mining and quarrying n.e.c.,1
0891,Winning van chemische- en meststof mineralen,Mining of chemical and fertiliser minerals,1
0892,Winning van turf,Extraction of peat,1
0893,Winning van zout,Extraction of salt,1
0899,Winning van overige delfstoffen n.e.g.,Other mining and quarrying n.e.c.,1
09,Dienstverl. winning van delfstoffen,Mining support service activities,1
091,Dienstverl. winning van aardolie en -gas,Support activities for petroleum and natural gas extraction,1
0910,Dienstverl. winning aardolie en aardgas,Support activities for petroleum and natural gas extraction,1
099,Dienstv. winning delfst. (geen olie/gas,Support activities for other mining and quarrying,1
0990,Dienst. winning delfstof (geen olie/gas),Support activities for other mining and quarrying,1
,Industrie,Manufacturing,1
10,Vervaardiging van voedingsmiddelen,Manufacture of food products,1
101,Slachterijen en vleesverwerking,Slaughterhouses and meat processing,1
1011,Slachterijen (geen pluimvee-),Slaughterhouses (no poultry),1
1012,Pluimveeslachterijen,Slaughterhouses (poultry),1
1013,Vleesverwerking (niet tot maaltijden),Processing of meat (no prepared dishes),1
102,Visverwerking,"Processing and preserving of fish, crustaceans and molluscs",1
1020,Visverwerking,"Processing and preserving of fish, crustaceans and molluscs",1
103,Verwerking van aardappels/groente/fruit,Processing and preserving of fruit and vegetables,1
1031,Vervaardiging van aardappelproducten,Processing and preserving of potatoes,1
1032,Vervaardiging van fruit- en groentesap,Manufacture of fruit and vegetable juice,1
1039,Verw.groente/fruit (geen sap/maaltijden),Other processing and preserving of fruit and vegetables,1
104,Verv. plant. en dierlijke oliën/vetten,Manufacture of vegetable and animal oils and fats,1
1041,Verv. plant. en dierlijke oliën/vetten,Manufacture of oils and fats,1
10410,Vervaardiging van plantaardige en dierlijke oliën en vetten (geen margarine en a,Manufacture of oils and fats,1
104101,Verv. ruwe plant. en dierl. oliën/vetten,Manufacture of crude vegetable and animal oils and fats,1
104102,Raffinage plant./dierl. oliën en vetten,Refining of vegetable and animal oils and fats,1
1042,Verv. margarine en overige spijsvetten,Manufacture of margarine and similar edible fats,1
105,Vervaardiging van zuivelproducten,Manufacture of dairy products,1
1051,Verv. zuivelprod. (geen consumptie-ijs),Operation of dairies and cheese making,1
1052,Vervaardiging van consumptie-ijs,Manufacture of ice cream,1
106,Vervaardiging van meel,"Manufacture of grain mill products, starches and starch products",1
1061,Vervaardiging van meel (geen zetmeel),Manufacture of grain mill products,1
1062,Verv. zetmeel en zetmeelproducten,Manufacture of starches and starch products,1
107,Verv. brood/banketbakkerswerk/deegwaren,Manufacture of bakery and farinaceous products,1
1071,Verv. brood en vers banketbakkerswerk,Manufacture of bread and fresh pastry,1
1072,Verv. houdbaar banketbakkerswerk,"Manufacture of rusks, biscuits and preserved pastry",1
